UID,FLAG_ID,NUM_ANTENNA,REASON,SPW_ID,ANTENNA_ID,START_TIME,END_TIME,CHECK_NA,delta
uid://A002/Xa2300a/Xa8a,Flag_3315,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_11,2015-06-04 02:03:58.879298,2015-06-04 02:03:59.173257,1,0.293959
uid://A002/Xa2300a/Xa8a,Flag_3304,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_12,2015-06-04 02:03:58.879889,2015-06-04 02:03:59.223882,1,0.343993
uid://A002/Xa2300a/Xa8a,Flag_2316,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_0,2015-06-04 02:03:58.881617,2015-06-04 02:03:59.121612,1,0.239995
uid://A002/Xa2300a/Xa8a,Flag_536,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_17,2015-06-04 02:03:58.883552,2015-06-04 02:03:59.275464,1,0.391912
uid://A002/Xa2300a/Xa8a,Flag_2655,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_20,2015-06-04 02:03:58.885363,2015-06-04 02:03:59.073314,1,0.187951
uid://A002/Xa2300a/Xa8a,Flag_285,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_3,2015-06-04 02:03:58.886158,2015-06-04 02:03:59.179153,1,0.292995
uid://A002/Xa2300a/Xa8a,Flag_5012,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_21,2015-06-04 02:03:58.890955,2015-06-04 02:03:59.274867,1,0.383912
uid://A002/Xa2300a/Xa8a,Flag_5225,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_16,2015-06-04 02:03:58.891720,2015-06-04 02:03:59.170648,1,0.278928
uid://A002/Xa2300a/Xa8a,Flag_4661,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_4,2015-06-04 02:03:58.895067,2015-06-04 02:03:59.121106,1,0.226039
uid://A002/Xa2300a/Xa8a,Flag_4967,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_1,2015-06-04 02:03:58.897603,2015-06-04 02:03:59.071318,1,0.173715
uid://A002/Xa2300a/Xa8a,Flag_4194,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_19,2015-06-04 02:03:58.899220,2015-06-04 02:03:59.230098,1,0.330878
uid://A002/Xa2300a/Xa8a,Flag_1975,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_9,2015-06-04 02:03:58.902617,2015-06-04 02:03:59.122539,1,0.219922
uid://A002/Xa2300a/Xa8a,Flag_5025,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_10,2015-06-04 02:03:58.905276,2015-06-04 02:03:59.072248,1,0.166972
uid://A002/Xa2300a/Xa8a,Flag_1260,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_6,2015-06-04 02:03:58.908294,2015-06-04 02:03:59.070358,1,0.162064
uid://A002/Xa2300a/Xa8a,Flag_5059,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_2,2015-06-04 02:03:58.910634,2015-06-04 02:03:59.069605,1,0.158971
uid://A002/Xa2300a/Xa8a,Flag_1753,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_13,2015-06-04 02:03:58.910994,2015-06-04 02:03:59.072995,1,0.162001
uid://A002/Xa2300a/Xa8a,Flag_2506,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_5,2015-06-04 02:03:58.915626,2015-06-04 02:03:59.121589,1,0.205963
uid://A002/Xa2300a/Xa8a,Flag_427,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_18,2015-06-04 02:03:58.919032,2015-06-04 02:03:59.071879,1,0.152847
uid://A002/Xa2300a/Xa8a,Flag_4244,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_7,2015-06-04 02:03:58.920360,2015-06-04 02:03:59.125304,1,0.204944
uid://A002/Xa2300a/Xa8a,Flag_3672,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_14,2015-06-04 02:03:58.920825,2015-06-04 02:03:59.225810,1,0.304985
uid://A002/Xa2300a/Xa8a,Flag_2842,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_8,2015-06-04 02:03:58.925498,2015-06-04 02:03:59.176439,1,0.250941
uid://A002/Xa2300a/Xa8a,Flag_315,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_15,2015-06-04 02:03:58.925889,2015-06-04 02:03:59.227337,1,0.301448
uid://A002/Xa2300a/Xa8a,Flag_3224,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_24,2015-06-04 02:03:58.927068,2015-06-04 02:03:59.128052,1,0.200984
uid://A002/Xa2300a/Xa8a,Flag_2500,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_27,2015-06-04 02:03:58.928221,2015-06-04 02:03:59.083209,1,0.154988
uid://A002/Xa2300a/Xa8a,Flag_1144,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_31,2015-06-04 02:03:58.935415,2015-06-04 02:03:59.188462,1,0.253047
uid://A002/Xa2300a/Xa8a,Flag_3251,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_28,2015-06-04 02:03:58.938580,2015-06-04 02:03:59.242553,1,0.303973
uid://A002/Xa2300a/Xa8a,Flag_2641,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_30,2015-06-04 02:03:58.940113,2015-06-04 02:03:59.241117,1,0.301004
uid://A002/Xa2300a/Xa8a,Flag_4830,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_34,2015-06-04 02:03:58.940752,2015-06-04 02:03:59.243702,1,0.30295
uid://A002/Xa2300a/Xa8a,Flag_3659,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_25,2015-06-04 02:03:58.940895,2015-06-04 02:03:59.195951,1,0.255056
uid://A002/Xa2300a/Xa8a,Flag_4385,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_36,2015-06-04 02:03:58.945154,2015-06-04 02:03:59.298091,1,0.352937
uid://A002/Xa2300a/Xa8a,Flag_3325,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_23,2015-06-04 02:03:58.945448,2015-06-04 02:03:59.099388,1,0.15394
uid://A002/Xa2300a/Xa8a,Flag_559,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_22,2015-06-04 02:03:58.946686,2015-06-04 02:03:59.198608,1,0.251922
uid://A002/Xa2300a/Xa8a,Flag_2966,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_29,2015-06-04 02:03:58.951683,2015-06-04 02:03:59.254648,1,0.302965
uid://A002/Xa2300a/Xa8a,Flag_4052,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_35,2015-06-04 02:03:58.953679,2015-06-04 02:03:59.259664,1,0.305985
uid://A002/Xa2300a/Xa8a,Flag_1500,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_32,2015-06-04 02:03:58.954200,2015-06-04 02:03:59.105199,1,0.150999
uid://A002/Xa2300a/Xa8a,Flag_1192,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_33,2015-06-04 02:03:58.957767,2015-06-04 02:03:59.211747,1,0.25398
uid://A002/Xa2300a/Xa8a,Flag_942,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_26,2015-06-04 02:03:58.961710,2015-06-04 02:03:59.217688,1,0.255978
uid://A002/Xa2300a/Xa8a,Flag_3853,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_37,2015-06-04 02:03:58.969265,2015-06-04 02:03:59.273174,1,0.303909
uid://A002/Xa2300a/Xa8a,Flag_4067,1,Mount is off source,<value> 1 0  </value> ,Antenna_36,2015-06-04 02:04:55.488000,2015-06-04 02:04:55.632000,1,0.144
uid://A002/Xa2300a/Xa8a,Flag_2615,1,Mount is off source,<value> 1 0  </value> ,Antenna_25,2015-06-04 02:04:55.680000,2015-06-04 02:04:55.872000,1,0.192
uid://A002/Xa2300a/Xa8a,Flag_1647,1,Mount is off source,<value> 1 0  </value> ,Antenna_23,2015-06-04 02:04:55.824000,2015-06-04 02:04:56.016000,1,0.192
uid://A002/Xa2300a/Xa8a,Flag_1787,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_22,2015-06-04 02:05:00.337611,2015-06-04 02:05:00.680791,1,0.34318
uid://A002/Xa2300a/Xa8a,Flag_1624,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_16,2015-06-04 02:05:00.338494,2015-06-04 02:05:00.628007,1,0.289513
uid://A002/Xa2300a/Xa8a,Flag_912,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_26,2015-06-04 02:05:00.340976,2015-06-04 02:05:00.668338,1,0.327362
uid://A002/Xa2300a/Xa8a,Flag_3207,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_15,2015-06-04 02:05:00.344409,2015-06-04 02:05:00.586534,1,0.242125
uid://A002/Xa2300a/Xa8a,Flag_2875,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_4,2015-06-04 02:05:00.344589,2015-06-04 02:05:00.726847,1,0.382258
uid://A002/Xa2300a/Xa8a,Flag_5154,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_29,2015-06-04 02:05:00.347959,2015-06-04 02:05:00.538043,1,0.190084
uid://A002/Xa2300a/Xa8a,Flag_1029,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_11,2015-06-04 02:05:00.348085,2015-06-04 02:05:00.573398,1,0.225313
uid://A002/Xa2300a/Xa8a,Flag_3898,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_9,2015-06-04 02:05:00.348971,2015-06-04 02:05:00.632290,1,0.283319
uid://A002/Xa2300a/Xa8a,Flag_1207,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_32,2015-06-04 02:05:00.351123,2015-06-04 02:05:00.723431,1,0.372308
uid://A002/Xa2300a/Xa8a,Flag_518,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_6,2015-06-04 02:05:00.351192,2015-06-04 02:05:00.687807,1,0.336615
uid://A002/Xa2300a/Xa8a,Flag_1847,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_17,2015-06-04 02:05:00.352739,2015-06-04 02:05:00.616924,1,0.264185
uid://A002/Xa2300a/Xa8a,Flag_2036,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_3,2015-06-04 02:05:00.353140,2015-06-04 02:05:00.641383,1,0.288243
uid://A002/Xa2300a/Xa8a,Flag_2265,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_8,2015-06-04 02:05:00.353418,2015-06-04 02:05:00.534312,1,0.180894
uid://A002/Xa2300a/Xa8a,Flag_295,1,Calibration device (ACD) is not in the correct position.,<value> 1 0  </value> ,Antenna_12,2015-06-04 02:05:00.355267,2015-06-04 02:05:00.668577,1,0.31331
