UID,SCAN,SUBSCAN,START_TIME,END_TIME,FIELD_NAME,INTENT,delta
uid://A002/Xa2300a/Xa8a,2,1,2015-06-04 02:08:38.352000,2015-06-04 02:08:50.832001,J1550+0527,ON_SOURCE,0 days 00:00:12.480001000
uid://A002/Xa2300a/Xa8a,3,2,2015-06-04 02:09:49.152000,2015-06-04 02:09:52.992001,J1550+0527,ON_SOURCE,0 days 00:00:03.840001000
uid://A002/Xa2300a/Xa8a,4,2,2015-06-04 02:10:53.039999,2015-06-04 02:11:23.280001,J1550+0527,ON_SOURCE,0 days 00:00:30.240002000
uid://A002/Xa2300a/Xa8a,4,8,2015-06-04 02:14:03.696000,2015-06-04 02:14:33.936000,J1550+0527,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,7,4,2015-06-04 02:21:15.264000,2015-06-04 02:21:45.504001,Titan,ON_SOURCE,0 days 00:00:30.240001000
uid://A002/Xa2300a/Xa8a,8,1,2015-06-04 02:23:05.568000,2015-06-04 02:23:15.648001,J1516+1932,ON_SOURCE,0 days 00:00:10.080001000
uid://A002/Xa2300a/Xa8a,8,2,2015-06-04 02:23:17.184000,2015-06-04 02:23:27.264000,J1516+1932,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,8,4,2015-06-04 02:23:40.416001,2015-06-04 02:23:50.496000,J1516+1932,ON_SOURCE,0 days 00:00:10.079999000
uid://A002/Xa2300a/Xa8a,8,8,2015-06-04 02:24:26.880000,2015-06-04 02:24:36.960000,J1516+1932,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,8,9,2015-06-04 02:24:38.496000,2015-06-04 02:24:48.576000,J1516+1932,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,8,10,2015-06-04 02:24:50.112000,2015-06-04 02:25:00.192000,J1516+1932,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,9,1,2015-06-04 02:25:38.256000,2015-06-04 02:26:08.496000,J1516+1932,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,1,4,2015-06-04 02:06:00,2015-06-04 02:06:10.080000,J1550+0527,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,4,9,2015-06-04 02:14:35.472000,2015-06-04 02:15:05.711999,J1550+0527,ON_SOURCE,0 days 00:00:30.239999000
uid://A002/Xa2300a/Xa8a,1,8,2015-06-04 02:06:46.464001,2015-06-04 02:06:56.544000,J1550+0527,ON_SOURCE,0 days 00:00:10.079999000
uid://A002/Xa2300a/Xa8a,5,7,2015-06-04 02:17:34.704001,2015-06-04 02:17:44.784000,J1517-2422,ON_SOURCE,0 days 00:00:10.079999000
uid://A002/Xa2300a/Xa8a,5,5,2015-06-04 02:17:11.472001,2015-06-04 02:17:21.552000,J1517-2422,ON_SOURCE,0 days 00:00:10.079999000
uid://A002/Xa2300a/Xa8a,4,3,2015-06-04 02:11:24.816000,2015-06-04 02:11:55.056000,J1550+0527,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,4,7,2015-06-04 02:13:31.920000,2015-06-04 02:14:02.160000,J1550+0527,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,5,2,2015-06-04 02:16:36.624001,2015-06-04 02:16:46.704000,J1517-2422,ON_SOURCE,0 days 00:00:10.079999000
uid://A002/Xa2300a/Xa8a,5,3,2015-06-04 02:16:48.240001,2015-06-04 02:16:58.320000,J1517-2422,ON_SOURCE,0 days 00:00:10.079999000
